time (UTC),latitude (degrees_north),BEUTI (mmol m-1 s-1)
2008-10-15T00:00:00Z,36.0,1.68
2008-10-15T00:00:00Z,37.0,2.83
2008-10-15T00:00:00Z,38.0,4.574
2008-10-15T00:00:00Z,39.0,8.455
2008-10-15T00:00:00Z,40.0,8.018
2008-10-15T00:00:00Z,41.0,4.456
2008-10-15T00:00:00Z,42.0,3.11
2008-10-15T00:00:00Z,43.0,0.441
2008-10-15T00:00:00Z,44.0,-0.552
2008-10-15T00:00:00Z,45.0,-0.438
2008-10-15T00:00:00Z,46.0,-0.256
2008-10-15T00:00:00Z,47.0,-0.394
2008-11-15T00:00:00Z,31.0,0.391
2008-11-15T00:00:00Z,32.0,0.055
2008-11-15T00:00:00Z,33.0,0.052
2008-11-15T00:00:00Z,34.0,0.353
2008-11-15T00:00:00Z,35.0,1.835
2008-11-15T00:00:00Z,36.0,1.559
2008-11-15T00:00:00Z,37.0,2.474
2008-11-15T00:00:00Z,38.0,0.696
2008-11-15T00:00:00Z,39.0,1.164
2008-11-15T00:00:00Z,40.0,-0.962
2008-11-15T00:00:00Z,41.0,-3.405
2008-11-15T00:00:00Z,42.0,-2.858
2008-11-15T00:00:00Z,43.0,-3.143
